"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 04 16:57:23 CST 2022","Wed May 04 16:57:26 CST 2022","2318","","test_two","Test","","","测试用例描述：正确的账号密码登录成功","测试描述：正确的账号密码登录成功"
"passed","Wed May 04 16:57:21 CST 2022","Wed May 04 16:57:21 CST 2022","3","","test_one","Testmysql","","","测试用例描述：查询客户数据","测试描述：查询数据是否正确"
"passed","Wed May 04 16:58:00 CST 2022","Wed May 04 16:58:17 CST 2022","16317","","test_three","Test","","","测试用例描述：播放音乐：我爱他","测试标题：播放音乐"
"passed","Wed May 04 16:57:46 CST 2022","Wed May 04 16:57:49 CST 2022","2601","","test_two","Test","","","测试用例描述：错误的验证码登录失败","测试描述：错误的验证码登录失败"
"passed","Wed May 04 16:57:30 CST 2022","Wed May 04 16:57:33 CST 2022","2447","","test_two","Test","","","测试用例描述：错误的账号登录失败","测试描述：错误的账号登录失败"
"passed","Wed May 04 16:57:20 CST 2022","Wed May 04 16:57:21 CST 2022","286","","test_Demo","TestPytestOne","","","测试用例描述：生肖配对","测试标题：生肖配对"
"passed","Wed May 04 16:57:38 CST 2022","Wed May 04 16:57:41 CST 2022","2429","","test_two","Test","","","测试用例描述：错误的密码登录失败","测试描述：错误的密码登录失败"
"passed","Wed May 04 16:57:20 CST 2022","Wed May 04 16:57:20 CST 2022","0","","test_Demo","TestPytestOne","","","测试标题：用例二","测试用例描述：用例二"
